id,radius,length,pd_radius,pd_length,sld,sld_solvent,model_scale,model_abs
cyl_000076,26.933794,201.189575,0.224752,0.107642,4.176614,1.0,1.0,0.0
cyl_000077,30.554342,498.427029,0.13033,0.279088,1.765448,1.0,1.0,0.0
cyl_000078,24.449489,467.051159,0.214441,0.025594,4.07831,1.0,1.0,0.0
cyl_000079,23.36312,294.921862,0.059037,0.015056,4.035164,1.0,1.0,0.0
cyl_000080,65.305511,530.186868,0.018734,0.055517,5.770588,1.0,1.0,0.0
cyl_000081,47.47905,346.184801,0.193835,0.003017,3.219337,1.0,1.0,0.0
cyl_000082,40.762222,264.792312,0.135118,0.196285,7.514394,1.0,1.0,0.0
cyl_000083,32.537868,878.040967,0.088574,0.184292,7.095117,1.0,1.0,0.0
cyl_000084,49.754868,229.165526,0.099166,0.234239,2.821872,1.0,1.0,0.0
cyl_000085,183.343585,263.420124,0.079721,0.209686,6.328902,1.0,1.0,0.0
cyl_000086,82.201505,213.541005,0.263191,0.077543,3.907767,1.0,1.0,0.0
cyl_000087,115.306349,962.61163,0.180926,0.145087,0.676046,1.0,1.0,0.0
cyl_000088,59.925244,340.582838,0.184474,0.187795,4.650257,1.0,1.0,0.0
cyl_000089,146.096565,625.378267,0.119268,0.105552,7.140325,1.0,1.0,0.0
cyl_000090,22.923848,435.705107,0.164144,0.193677,3.480408,1.0,1.0,0.0
cyl_000091,88.067594,345.06273,0.05989,0.014136,3.320687,1.0,1.0,0.0
cyl_000092,31.817377,238.596238,0.089116,0.123727,7.844354,1.0,1.0,0.0
cyl_000093,121.582227,200.046318,0.064187,0.23595,3.037528,1.0,1.0,0.0
cyl_000094,87.520248,459.309249,0.059823,0.12607,5.306145,1.0,1.0,0.0
cyl_000095,98.078939,937.336389,0.09684,0.161675,6.573636,1.0,1.0,0.0
cyl_000096,156.462147,649.036639,0.121926,0.197906,7.368235,1.0,1.0,0.0
cyl_000097,133.02999,532.055241,0.297923,0.093794,3.208064,1.0,1.0,0.0
cyl_000098,86.679359,427.821259,0.005092,0.257119,7.287412,1.0,1.0,0.0
cyl_000099,65.478403,634.559319,0.25449,0.071582,7.775827,1.0,1.0,0.0
cyl_000100,189.173946,991.659885,0.272403,0.037526,7.761072,1.0,1.0,0.0
cyl_000101,40.798016,207.548443,0.077581,0.156129,2.703808,1.0,1.0,0.0
cyl_000102,22.536148,264.99797,0.278559,0.296039,6.261207,1.0,1.0,0.0
cyl_000103,94.799199,293.916786,0.111253,0.205705,6.656502,1.0,1.0,0.0
cyl_000104,93.605279,965.278108,0.17717,0.123111,1.711382,1.0,1.0,0.0
cyl_000105,72.364946,883.619006,0.051645,0.161407,0.648874,1.0,1.0,0.0
cyl_000106,117.847857,533.32109,0.280735,0.006452,2.650691,1.0,1.0,0.0
cyl_000107,79.137008,408.912418,0.168321,0.247272,4.522537,1.0,1.0,0.0
cyl_000108,58.020035,324.483963,0.188377,0.258333,3.76796,1.0,1.0,0.0
cyl_000109,55.720478,344.665937,0.282044,0.017752,4.221117,1.0,1.0,0.0
cyl_000110,31.00058,374.402558,0.233323,0.192157,4.21926,1.0,1.0,0.0
cyl_000111,26.491098,475.678294,0.116767,0.004287,0.525492,1.0,1.0,0.0
cyl_000112,38.138113,778.891044,0.09792,0.081889,4.366068,1.0,1.0,0.0
cyl_000113,129.693279,874.984921,0.234186,0.059158,7.099623,1.0,1.0,0.0
cyl_000114,162.915212,361.464511,0.082174,0.141451,5.031271,1.0,1.0,0.0
cyl_000115,66.173454,273.947214,0.108758,0.206408,0.683716,1.0,1.0,0.0
cyl_000116,37.959014,922.983674,0.133556,0.118524,4.062402,1.0,1.0,0.0
cyl_000117,45.208337,255.668477,0.104158,0.14909,6.02931,1.0,1.0,0.0
cyl_000118,37.648473,320.525261,0.125001,0.01706,1.968501,1.0,1.0,0.0
cyl_000119,20.586118,787.117311,0.174538,0.034387,5.773048,1.0,1.0,0.0
cyl_000120,25.149412,294.327751,0.071846,0.164652,6.01235,1.0,1.0,0.0
cyl_000121,165.224639,319.473637,0.027368,0.001158,1.366352,1.0,1.0,0.0
cyl_000122,117.171156,450.271107,0.026895,0.220198,1.352098,1.0,1.0,0.0
cyl_000123,113.400296,338.354583,0.145166,0.24574,6.28329,1.0,1.0,0.0
cyl_000124,135.29755,946.070877,0.085824,0.067627,3.825583,1.0,1.0,0.0
cyl_000125,111.056193,378.564837,0.226276,0.075362,6.547203,1.0,1.0,0.0
cyl_000126,69.833314,382.429116,0.192191,0.034971,6.168265,1.0,1.0,0.0
cyl_000127,35.932402,914.867411,0.154882,0.071176,1.621747,1.0,1.0,0.0
cyl_000128,168.311304,226.906961,0.122836,0.009264,7.251781,1.0,1.0,0.0
cyl_000129,42.471877,262.580776,0.109965,0.122652,4.461814,1.0,1.0,0.0
cyl_000130,66.272221,219.477096,0.207564,0.221213,7.90994,1.0,1.0,0.0
cyl_000131,110.79136,271.971752,0.159523,0.018282,2.859252,1.0,1.0,0.0
cyl_000132,48.660581,555.403367,0.135915,0.285144,4.670886,1.0,1.0,0.0
cyl_000133,21.839768,357.518834,0.266501,0.018657,4.973671,1.0,1.0,0.0
cyl_000134,106.44782,681.732487,0.223696,0.125829,7.005527,1.0,1.0,0.0
cyl_000135,22.230551,239.251446,0.27404,0.298951,4.543972,1.0,1.0,0.0
cyl_000136,77.164926,407.664546,0.278313,0.134588,3.213341,1.0,1.0,0.0
cyl_000137,33.320976,488.738131,0.175264,0.098932,7.456465,1.0,1.0,0.0
cyl_000138,56.235576,253.042008,0.151652,0.013018,1.539237,1.0,1.0,0.0
cyl_000139,39.197225,311.26502,0.22068,0.121608,4.795972,1.0,1.0,0.0
cyl_000140,57.301278,270.900042,0.288726,0.146329,3.902834,1.0,1.0,0.0
cyl_000141,183.575943,274.301074,0.060408,0.251556,4.905032,1.0,1.0,0.0
cyl_000142,138.001759,734.673979,0.236592,0.054804,2.615711,1.0,1.0,0.0
cyl_000143,114.664935,472.80821,0.206086,0.105681,3.978996,1.0,1.0,0.0
cyl_000144,23.98606,294.743131,0.121716,0.026511,0.97073,1.0,1.0,0.0
cyl_000145,178.314925,846.406125,0.218017,0.167272,4.577061,1.0,1.0,0.0
cyl_000146,65.122153,310.073915,0.008743,0.039083,1.832737,1.0,1.0,0.0
cyl_000147,26.005457,928.961057,0.180216,0.15697,7.049159,1.0,1.0,0.0
cyl_000148,61.488714,409.120626,0.139482,0.116762,2.166082,1.0,1.0,0.0
cyl_000149,70.649015,653.876837,0.212664,0.081036,0.934786,1.0,1.0,0.0
cyl_000150,167.412379,644.910965,0.102702,0.052761,2.627034,1.0,1.0,0.0
cyl_000151,29.23909,265.214064,0.264081,0.15863,6.941515,1.0,1.0,0.0
cyl_000152,197.251369,502.385422,0.064354,0.181824,2.128706,1.0,1.0,0.0
cyl_000153,55.819455,769.95544,0.277195,0.21281,5.53068,1.0,1.0,0.0
cyl_000154,32.725543,549.690495,0.131088,0.111283,6.622116,1.0,1.0,0.0
cyl_000155,111.695655,653.743687,0.221732,0.22427,6.31057,1.0,1.0,0.0
cyl_000156,131.477064,223.042678,0.073606,0.153918,6.154859,1.0,1.0,0.0
cyl_000157,39.977571,226.974657,0.139809,0.297648,5.453821,1.0,1.0,0.0
cyl_000158,166.077268,274.570925,0.214078,0.062709,3.821987,1.0,1.0,0.0
cyl_000159,51.15105,258.185217,0.272106,0.266306,7.69916,1.0,1.0,0.0
cyl_000160,48.526992,346.997526,0.270843,0.224517,4.094611,1.0,1.0,0.0
cyl_000161,35.447997,533.657767,0.259086,0.222705,7.115126,1.0,1.0,0.0
cyl_000162,23.184454,315.808128,0.289363,0.107846,1.639054,1.0,1.0,0.0
cyl_000163,89.281526,250.976058,0.265992,0.292926,5.194261,1.0,1.0,0.0
cyl_000164,39.17293,812.762095,0.186722,0.031562,6.598745,1.0,1.0,0.0
cyl_000165,39.40796,299.500665,0.065839,0.183929,6.142628,1.0,1.0,0.0
cyl_000166,164.305028,789.154033,0.110243,0.042798,4.261718,1.0,1.0,0.0
cyl_000167,87.887806,424.506997,0.074024,0.053111,4.804149,1.0,1.0,0.0
cyl_000168,76.099492,270.456568,0.15761,0.151643,7.681245,1.0,1.0,0.0
cyl_000169,60.584898,366.489302,0.059155,0.280304,4.32596,1.0,1.0,0.0
cyl_000170,31.87678,317.033696,0.034945,0.149785,2.870052,1.0,1.0,0.0
cyl_000171,31.972513,468.736232,0.02428,0.256896,6.553644,1.0,1.0,0.0
cyl_000172,145.921449,539.992945,0.107038,0.254687,1.047974,1.0,1.0,0.0
cyl_000173,145.495963,262.813235,0.246302,0.009918,7.205289,1.0,1.0,0.0
cyl_000174,109.999366,718.360008,0.106535,0.020454,4.333282,1.0,1.0,0.0
cyl_000175,25.736186,489.519576,0.237226,0.150321,5.225518,1.0,1.0,0.0
cyl_000176,35.548067,288.541766,0.243396,0.073716,5.853762,1.0,1.0,0.0
cyl_000177,31.895241,477.256103,0.29288,0.001696,5.832067,1.0,1.0,0.0
cyl_000178,23.005001,403.70806,0.147344,0.205352,0.536208,1.0,1.0,0.0
cyl_000179,57.181784,315.946338,0.291531,0.131904,1.864912,1.0,1.0,0.0
cyl_000180,26.747457,783.941422,0.083271,0.127682,2.711925,1.0,1.0,0.0
cyl_000181,46.071803,201.947901,0.011861,0.24144,1.451564,1.0,1.0,0.0
cyl_000182,53.762641,442.665807,0.036905,0.275415,5.523836,1.0,1.0,0.0
cyl_000183,34.301271,398.218809,0.090642,0.143789,5.580456,1.0,1.0,0.0
cyl_000184,34.570299,542.718043,0.088294,0.12804,2.572715,1.0,1.0,0.0
cyl_000185,27.352675,335.380515,0.024049,0.118158,3.788791,1.0,1.0,0.0
cyl_000186,91.099972,886.570351,0.295075,0.296908,1.370795,1.0,1.0,0.0
cyl_000187,38.504972,794.965034,0.176348,0.178883,5.505603,1.0,1.0,0.0
cyl_000188,51.279219,312.72641,0.044634,0.177837,1.83109,1.0,1.0,0.0
cyl_000189,151.52542,208.80192,0.140038,0.179927,3.948854,1.0,1.0,0.0
cyl_000190,171.497745,372.068265,0.006296,0.29081,5.251477,1.0,1.0,0.0
cyl_000191,29.747819,226.54775,0.024493,0.257882,4.873221,1.0,1.0,0.0
cyl_000192,30.643181,233.692796,0.014932,0.26621,5.684954,1.0,1.0,0.0
cyl_000193,187.711365,205.841902,0.023115,0.00616,4.135265,1.0,1.0,0.0
cyl_000194,42.86546,277.243443,0.035266,0.029479,2.991315,1.0,1.0,0.0
cyl_000195,24.391834,336.41597,0.04953,0.166025,7.952011,1.0,1.0,0.0
cyl_000196,26.533598,673.973599,0.218276,0.112406,2.032588,1.0,1.0,0.0
cyl_000197,54.733853,249.258739,0.093837,0.176312,4.816891,1.0,1.0,0.0
cyl_000198,33.935548,649.585003,0.194938,0.044827,6.744414,1.0,1.0,0.0
cyl_000199,33.069895,568.965795,0.223462,0.194028,5.116792,1.0,1.0,0.0
cyl_000200,85.275363,670.924903,0.274836,0.083885,6.73329,1.0,1.0,0.0
cyl_000201,89.372604,740.40703,0.213116,0.009695,5.943778,1.0,1.0,0.0
cyl_000202,21.748903,252.000879,0.207637,0.002836,1.983841,1.0,1.0,0.0
cyl_000203,105.658636,457.373796,0.099084,0.124782,7.866397,1.0,1.0,0.0
cyl_000204,97.820479,323.818573,0.026301,0.171848,6.867935,1.0,1.0,0.0
cyl_000205,74.533243,822.914224,0.122133,0.054342,6.294927,1.0,1.0,0.0
cyl_000206,26.566842,250.085933,0.223134,0.191571,3.923535,1.0,1.0,0.0
cyl_000207,36.868179,422.769941,0.080211,0.157624,1.695183,1.0,1.0,0.0
cyl_000208,26.351909,556.585029,0.093248,0.076003,5.876753,1.0,1.0,0.0
cyl_000209,60.36123,722.602102,0.056497,0.038607,1.575255,1.0,1.0,0.0
cyl_000210,94.922224,251.781072,0.001745,0.287539,0.980721,1.0,1.0,0.0
cyl_000211,129.128373,935.608867,0.046912,0.148233,1.941517,1.0,1.0,0.0
cyl_000212,60.273702,577.009747,0.127973,0.19747,3.524668,1.0,1.0,0.0
cyl_000213,34.770552,220.476282,0.146759,0.162669,2.964276,1.0,1.0,0.0
cyl_000214,27.605438,339.736632,0.036624,0.032744,1.131915,1.0,1.0,0.0
cyl_000215,24.528479,405.139179,0.195777,0.196552,5.871634,1.0,1.0,0.0
cyl_000216,78.10902,299.791517,0.256154,0.202559,5.912576,1.0,1.0,0.0
cyl_000217,29.437937,457.834988,0.085171,0.018308,4.592513,1.0,1.0,0.0
cyl_000218,36.254959,427.016215,0.204266,0.020094,2.104288,1.0,1.0,0.0
cyl_000219,192.99395,895.440901,0.283903,0.059251,6.060503,1.0,1.0,0.0
cyl_000220,63.122012,922.315568,0.153017,0.081695,3.83505,1.0,1.0,0.0
cyl_000221,37.883199,636.887832,0.274284,0.144584,6.819786,1.0,1.0,0.0
cyl_000222,22.736746,281.00705,0.297127,0.257545,0.928077,1.0,1.0,0.0
cyl_000223,44.590623,214.305528,0.185089,0.206711,0.565215,1.0,1.0,0.0
cyl_000224,64.362754,261.080753,0.059251,0.034751,2.116972,1.0,1.0,0.0
cyl_000225,33.479136,670.559026,0.102055,0.006867,2.202251,1.0,1.0,0.0
cyl_000226,147.326509,703.259041,0.211156,0.187508,0.555457,1.0,1.0,0.0
cyl_000227,75.850391,310.768493,0.035122,0.244972,4.75604,1.0,1.0,0.0
cyl_000228,90.57543,210.424352,0.235468,0.046255,7.034421,1.0,1.0,0.0
cyl_000229,37.366841,247.953069,0.045402,0.11793,4.426423,1.0,1.0,0.0
cyl_000230,123.23419,318.173007,0.067495,0.006334,5.669139,1.0,1.0,0.0
cyl_000231,112.460418,988.793092,0.19233,0.042177,7.9552,1.0,1.0,0.0
cyl_000232,24.611214,529.031843,0.293906,0.267211,2.717898,1.0,1.0,0.0
cyl_000233,61.956809,526.679601,0.221951,0.103024,3.289719,1.0,1.0,0.0
cyl_000234,33.803832,405.06704,0.224943,0.117259,0.91025,1.0,1.0,0.0
cyl_000235,66.702961,627.099023,0.284303,0.182225,2.25525,1.0,1.0,0.0
cyl_000236,159.943027,346.330564,0.136929,0.224633,5.32203,1.0,1.0,0.0
cyl_000237,42.01306,273.11631,0.147275,0.159529,1.878581,1.0,1.0,0.0
cyl_000238,29.33075,490.463578,0.1143,0.274701,5.732151,1.0,1.0,0.0
cyl_000239,43.484744,236.092799,0.217129,0.097998,7.02747,1.0,1.0,0.0
cyl_000240,52.709986,690.355879,0.111864,0.194427,4.557124,1.0,1.0,0.0
cyl_000241,61.249982,377.612827,0.030454,0.151715,7.536567,1.0,1.0,0.0
cyl_000242,30.880762,396.378264,0.05466,0.074816,0.859932,1.0,1.0,0.0
cyl_000243,131.012329,455.54684,0.063784,0.053551,3.473047,1.0,1.0,0.0
cyl_000244,196.563625,339.085096,0.083721,0.113647,3.633626,1.0,1.0,0.0
cyl_000245,42.148272,781.681414,0.120394,0.272166,0.610472,1.0,1.0,0.0
cyl_000246,136.733628,594.973201,0.032372,0.271061,3.10602,1.0,1.0,0.0
cyl_000247,27.515036,357.697811,0.032658,0.031271,3.240705,1.0,1.0,0.0
cyl_000248,83.9164,884.415586,0.268594,0.223247,2.034618,1.0,1.0,0.0
cyl_000249,73.202626,327.799495,0.093928,0.051874,1.08012,1.0,1.0,0.0
cyl_000250,69.614407,872.434778,0.26481,0.03632,7.733152,1.0,1.0,0.0
cyl_000251,32.875793,204.429567,0.270681,0.274092,6.541607,1.0,1.0,0.0
cyl_000252,68.254797,656.661093,0.076883,0.103771,6.335942,1.0,1.0,0.0
cyl_000253,43.293632,474.760925,0.248884,0.065494,5.729519,1.0,1.0,0.0
cyl_000254,49.02312,350.914745,0.014496,0.076642,7.526109,1.0,1.0,0.0
cyl_000255,20.894543,823.845216,0.254107,0.265844,6.379282,1.0,1.0,0.0
cyl_000256,83.725183,404.576064,0.037063,0.139376,5.405243,1.0,1.0,0.0
cyl_000257,88.857617,829.449842,0.123613,0.104176,4.512686,1.0,1.0,0.0
cyl_000258,114.359979,756.010764,0.000979,0.199301,0.939014,1.0,1.0,0.0
cyl_000259,109.36659,708.399185,0.294925,0.189288,1.630898,1.0,1.0,0.0
cyl_000260,47.398522,349.488769,0.250625,0.297049,3.330457,1.0,1.0,0.0
cyl_000261,80.727391,869.210824,0.275208,0.285257,3.811283,1.0,1.0,0.0
cyl_000262,33.182954,661.012566,0.152154,0.163182,6.160941,1.0,1.0,0.0
cyl_000263,136.49983,692.55247,0.261904,0.12717,6.163759,1.0,1.0,0.0
cyl_000264,47.148199,809.983006,0.07577,0.164796,1.899284,1.0,1.0,0.0
cyl_000265,23.30511,219.357638,0.156034,0.017302,7.210013,1.0,1.0,0.0
cyl_000266,25.274169,220.150804,0.181106,0.159336,0.664726,1.0,1.0,0.0
cyl_000267,28.439319,376.959954,0.201327,0.218292,5.34665,1.0,1.0,0.0
cyl_000268,129.209369,463.005089,0.030614,0.14212,7.119628,1.0,1.0,0.0
cyl_000269,46.00899,229.928774,0.027028,0.2688,4.976883,1.0,1.0,0.0
cyl_000270,20.046278,350.055326,0.269042,0.061016,2.575529,1.0,1.0,0.0
cyl_000271,37.059604,340.417909,0.039212,0.278919,7.172381,1.0,1.0,0.0
cyl_000272,33.020921,273.614283,0.08402,0.048491,1.79207,1.0,1.0,0.0
cyl_000273,28.104827,240.440321,0.211672,0.241533,5.182636,1.0,1.0,0.0
cyl_000274,84.59414,893.179575,0.279854,0.062905,6.993229,1.0,1.0,0.0
cyl_000275,62.238688,296.011351,0.0162,0.161176,5.858265,1.0,1.0,0.0
cyl_000276,180.762453,253.324673,0.298359,0.023852,2.876633,1.0,1.0,0.0
cyl_000277,28.760643,391.840044,0.284401,0.029088,5.697812,1.0,1.0,0.0
cyl_000278,25.300394,423.200722,0.132877,0.246937,6.698534,1.0,1.0,0.0
cyl_000279,92.823587,480.941705,0.023967,0.28037,1.796985,1.0,1.0,0.0
cyl_000280,50.291214,638.924848,0.265324,0.152718,3.026875,1.0,1.0,0.0
cyl_000281,72.52539,771.312814,0.027246,0.088817,2.418857,1.0,1.0,0.0
cyl_000282,25.60499,366.921008,0.231269,0.043078,7.088801,1.0,1.0,0.0
cyl_000283,25.397853,333.854321,0.248251,0.087066,4.827382,1.0,1.0,0.0
cyl_000284,112.61709,327.071667,0.106205,0.230641,6.018281,1.0,1.0,0.0
cyl_000285,32.754632,447.153493,0.240823,0.062404,1.880841,1.0,1.0,0.0
cyl_000286,105.059432,687.334367,0.227283,0.120255,2.829256,1.0,1.0,0.0
cyl_000287,99.749601,521.968792,0.020237,0.004597,2.279086,1.0,1.0,0.0
cyl_000288,84.689116,857.591322,0.00527,0.142443,2.524754,1.0,1.0,0.0
cyl_000289,65.692038,484.849024,0.064262,0.021029,1.325958,1.0,1.0,0.0
cyl_000290,108.355033,875.778523,0.00342,0.219936,7.040323,1.0,1.0,0.0
cyl_000291,41.200484,442.257334,0.258277,0.033652,2.370283,1.0,1.0,0.0
cyl_000292,20.202878,721.694312,0.123416,0.219258,5.474005,1.0,1.0,0.0
cyl_000293,75.882734,296.407864,0.269455,0.012012,6.234844,1.0,1.0,0.0
cyl_000294,32.184464,373.857476,0.108958,0.206028,1.801824,1.0,1.0,0.0
cyl_000295,49.278602,288.289335,0.265439,0.059556,6.39912,1.0,1.0,0.0
cyl_000296,181.12358,591.313116,0.068375,0.270507,7.064495,1.0,1.0,0.0
cyl_000297,32.937728,525.004418,0.100841,0.108646,6.341045,1.0,1.0,0.0
cyl_000298,52.618186,296.948052,0.069853,0.023344,7.320171,1.0,1.0,0.0
cyl_000299,83.532049,467.479655,0.23803,0.14521,5.142386,1.0,1.0,0.0
cyl_000300,32.918967,270.391125,0.128266,0.253496,5.088478,1.0,1.0,0.0
cyl_000301,106.619043,396.342657,0.155589,0.132968,6.00845,1.0,1.0,0.0
cyl_000302,186.664596,807.996781,0.276755,0.244805,5.807946,1.0,1.0,0.0
cyl_000303,97.453213,605.842068,0.161968,0.084239,4.629986,1.0,1.0,0.0
cyl_000304,101.563973,389.26511,0.114035,0.040784,4.718003,1.0,1.0,0.0
cyl_000305,25.988884,856.074788,0.285051,0.082987,2.276509,1.0,1.0,0.0
cyl_000306,106.250986,776.473215,0.117598,0.286667,2.115121,1.0,1.0,0.0
cyl_000307,55.263857,503.744371,0.145484,0.064088,1.103506,1.0,1.0,0.0
cyl_000308,46.672278,591.180005,0.184157,0.197359,4.066341,1.0,1.0,0.0
cyl_000309,184.908561,479.843526,0.056893,0.069181,2.503513,1.0,1.0,0.0
cyl_000310,42.292955,205.965497,0.296026,0.082014,7.707918,1.0,1.0,0.0
cyl_000311,42.520241,217.764544,0.104301,0.041953,6.871555,1.0,1.0,0.0
cyl_000312,163.301085,905.718025,0.183344,0.210847,6.359054,1.0,1.0,0.0
cyl_000313,67.647324,222.519859,0.013687,0.081401,6.047862,1.0,1.0,0.0
cyl_000314,39.267681,457.571038,0.255408,0.086239,6.211325,1.0,1.0,0.0
cyl_000315,53.580326,229.495863,0.261351,0.214889,3.882278,1.0,1.0,0.0
